N,P,K,temperature,humidity,ph,rainfall,label
65.13328031583538,62.570253686252464,4.004396789119309,30.44324331750985,89.32720756547589,6.326933667599119,5.302619869561958,papaya
15.007020698560682,65.15356934166113,2.95800133703237,37.1874069073666,55.41243427161146,5.992015480718757,4.811221482215972,pigeonpeas
41.78284011951582,24.31927872776682,2.751183323921485,31.11940029056516,88.95676410866436,7.284693585977688,4.649511856409564,orange
96.49574575214402,21.00100009727652,3.2562222660227937,23.88138754029676,55.85885243842935,6.490042343890647,5.167702089285884,coffee
106.09646439517935,91.19489991515664,3.9017792845422625,25.69297434280153,83.94419574214311,6.332409215995294,4.751575905995354,banana
54.36250555192389,47.72771333915199,3.097822261830592,24.79799058051159,69.10578076222656,7.297774791069079,4.505892720969854,maize
27.60398543411556,73.01460065840318,4.477913833792002,17.022132468380352,20.26403440825728,6.729291855859619,4.325804431506998,chickpea
107.73559268362888,12.378576636846628,3.8170978315433115,28.537552232222005,100.0,6.548209180282153,3.144727459155259,muskmelon
68.72882264967883,53.84221333328942,3.7351095547146667,23.11079727962857,88.09530189902628,5.731837441780042,5.355480285846971,rice
20.981489604924505,52.79553746327773,3.275417501848316,28.33269899489977,61.52135287585394,8.407522423734907,4.127507503217668,mothbeans
5.753680594137292,29.730580265224035,3.664003631330732,23.539227951383456,100.0,7.187090707513886,4.669797150457806,pomegranate
37.45440715108919,55.93867024843781,3.907510035165932,33.05388320410386,90.78704559382722,6.5467185946446325,3.9135642260587993,papaya
86.4940825143952,20.850291599884883,3.979812547533743,30.7638878125628,92.63755402280344,5.602737525507232,3.2185789075077214,muskmelon
125.02199027504032,49.07060964183025,3.20074634842848,23.83710037778042,80.92963663689022,6.955798595140567,4.163058758262472,cotton
25.710292091900563,71.7430123176341,3.254879949583411,23.998220010176656,20.165504905267145,6.139922177480891,4.795362279625128,kidneybeans
49.27424180230263,72.53518003502906,2.817532444649992,26.543904260011733,72.39889692616894,6.485041303547591,4.291495648388321,blackgram
58.34782979706078,78.69172836645218,2.7824910725083,29.54693600426139,66.81456343611022,7.951235460796302,4.193999657114196,blackgram
71.77188171442458,55.86267181871469,3.6173905469548377,24.547187440251847,81.08941968343989,6.022443409943421,5.265074650538378,jute
81.26721285180504,51.53498831379699,3.179995961406325,19.3934282577406,62.40331416365014,6.569885170132004,4.185264928299097,maize
27.11017368237556,71.13178325034492,3.071023142217763,17.442509337076846,25.051568882403203,5.629181353801376,4.2718938813385705,kidneybeans
8.89591867061758,76.11603751439904,3.1702599514738696,26.989141212180133,56.260378993986194,5.872597836679476,5.179275305464817,pigeonpeas
8.635140063810177,6.842340203917674,3.718000406086314,19.54933478363546,84.02957387538018,6.404749889277977,4.7274977288641455,pomegranate
29.75409415012468,129.34727891716398,4.576069589672634,24.42352945308589,96.55717978102037,5.299235499279262,4.73111633280688,apple
37.3256173025753,36.42766223743739,2.909461222363284,28.431415885409344,80.40516997640468,6.895037093467706,4.106765408083578,mungbean
42.970541905292094,103.25170382825944,4.576069589672634,22.38408451182003,96.91351595514396,5.312914160845884,4.72184916456832,apple
39.82483111111411,47.70873942801788,3.1667026348031735,29.321182125419003,93.67700482337484,6.76682559838193,3.6583594536019675,mungbean
95.84724771077518,5.216997752190356,3.9302919468327473,26.36128603509478,87.46449982323914,6.948091183736008,3.8191768428657733,watermelon
